T P CH4 O2 N2 AR CO2 H2O C2H6 HCCOH HNCO CH2CHO H2 CH3 YiSum CH4 O2 N2 AR CO2 H2O C2H6 HCCOH HNCO CH2CHO H2 CH3
1918 107642 0.417749521 0.112427377 0.060319427 0.981958655 0.360707925 0.801350639 0.004746471 0.541300221 0.689569538 0.411777043 0.319859524 0.723735442 5.425501783 0.068060844 0.018316962 0.009827399 0.159983271 0.058767478 0.130558141 0.000773308 0.088190047 0.112346472 0.067087792 0.05211235 0.11791287
1219 102020 0.697788415 0.872705688 0.181959077 0.719805757 0.76493878 0.047246274 0.3691456 0.43654507 0.058648991 0.352458526 0.164244538 0.525157321 5.190644037 0.113685513 0.142183492 0.029645249 0.117272636 0.124625826 0.007697486 0.060142166 0.071123064 0.009555247 0.057423465 0.026759149 0.085560004
1578 101710 0.094009507 0.398585376 0.962462743 0.294116921 0.882119337 0.831349875 0.447740707 0.924018596 0.336253829 0.160787383 0.941655776 0.498831231 6.771931282 0.015316275 0.064938571 0.156806946 0.047918298 0.143717189 0.135445695 0.072947087 0.150543525 0.054783353 0.026195901 0.153417021 0.081270888
505 105536 0.035055592 0.362881311 0.483977914 0.503883476 0.311763996 0.908530355 0.259535408 0.909736958 0.010293276 0.383084343 0.936575936 0.571222766 5.676541332 0.005711349 0.059121572 0.078850947 0.082094013 0.050793405 0.148020141 0.042284187 0.148216724 0.001677007 0.062413103 0.1525894 0.093065106
2941 105966 0.333510356 0.243408588 0.163603255 0.894948844 0.880296221 0.018828977 0.663407164 0.874506406 0.153754831 0.105204227 0.883176635 0.473088479 5.687733982 0.054336379 0.039656764 0.02665467 0.145807405 0.143420162 0.003067666 0.108084029 0.14247687 0.025050139 0.017140148 0.143889446 0.077076812
2243 101783 0.007792193 0.195141698 0.963917848 0.433258964 0.92980076 0.363611849 0.559506881 0.701180713 0.090260296 0.29611021 0.333482455 0.021139862 4.895203731 0.001269525 0.031792996 0.157044016 0.070587683 0.151485571 0.059240593 0.091156324 0.114238195 0.014705443 0.04824305 0.054331833 0.003444162
2776 109091 0.370764549 0.458939721 0.606354488 0.543260823 0.620854672 0.432435997 0.042343074 0.846067069 0.476369449 0.675178856 0.556945402 0.294004911 5.923519013 0.06040593 0.074771659 0.098788858 0.088509474 0.101151266 0.070453603 0.006898644 0.137843459 0.077611356 0.110001904 0.090739001 0.047900049
832 105946 0.113049445 0.180376903 0.430901437 0.00176033 0.631511034 0.10316167 0.314020727 0.648795303 0.127353689 0.309643715 0.951355754 0.20207017 4.014000177 0.018418311 0.029387477 0.070203589 0.000286797 0.102887429 0.016807369 0.051161078 0.105703427 0.020748796 0.050447964 0.154997367 0.0329218
1419 110100 0.455054817 0.604031451 0.074127629 0.225043277 0.106670494 0.695144927 0.521518431 0.637457703 0.87484398 0.99851988 0.816247281 0.404039709 6.412699579 0.07413872 0.098410383 0.012077067 0.036664639 0.017379036 0.113254829 0.084967146 0.103856275 0.142531868 0.162681469 0.132985141 0.065827206
504 106408 0.276469521 0.528194514 0.656158005 0.559520137 0.699775775 0.280633978 0.570335613 0.956553788 0.916990608 0.952685811 0.968883139 0.411622551 7.777823438 0.045043137 0.086054831 0.106902978 0.091158483 0.114009299 0.045721621 0.092920569 0.155844244 0.149398507 0.155214063 0.157852974 0.067062622
933 103802 0.13097635 0.316935206 0.178472072 0.424325449 0.550969438 0.725475217 0.445918483 0.600788639 0.742996299 0.441117034 0.079149482 0.844642853 5.481766522 0.021339009 0.051635912 0.029077137 0.069132212 0.089765381 0.118196319 0.072650205 0.097882056 0.121050899 0.07186794 0.012895241 0.137611422
484 106360 0.108935813 0.490025439 0.486097675 0.51777183 0.960383259 0.270327469 0.178841695 0.599537123 0.777224404 0.532664755 0.680540582 0.031926721 5.634276764 0.017748107 0.079836226 0.079196304 0.08435674 0.156468151 0.044042458 0.029137356 0.097678155 0.126627432 0.086783134 0.110875451 0.005201585
2903 103592 0.269541243 0.203120743 0.212208863 0.6839583 0.497819739 0.441172845 0.649167497 0.347303769 0.343848237 0.684064591 0.677392549 0.73883115 5.748429525 0.043914364 0.033092962 0.034573623 0.111432274 0.081106093 0.071877033 0.105764066 0.056583638 0.056020654 0.111449592 0.110362565 0.120372303
2618 106442 0.364330479 0.623833485 0.591618917 0.503158799 0.38552277 0.776732967 0.033959341 0.034189841 0.346184939 0.523707481 0.15299759 0.126094348 4.462330955 0.059357674 0.101636582 0.096388101 0.081975947 0.062810378 0.126547366 0.005532745 0.005570298 0.056401355 0.085323792 0.024926767 0.020543621
1189 109653 0.626541321 0.094426074 0.281922865 0.579250683 0.948618856 0.262305205 0.573988544 0.381765702 0.157307557 0.25269124 0.750122352 0.187510373 5.096450771 0.10207775 0.015384143 0.04593161 0.094373036 0.154551464 0.04273545 0.093515714 0.062198266 0.025628958 0.041169117 0.122211895 0.03054968
2803 108527 0.836236331 0.38550814 0.618429553 0.064660129 0.388241499 0.743393568 0.378505515 0.686806027 0.067005231 0.361033906 0.526502385 0.801359322 5.857681605 0.136241809 0.062807994 0.10075616 0.010534597 0.06325332 0.121115624 0.061667108 0.111896234 0.010916667 0.058820588 0.085779145 0.130559556
1050 106810 0.856984712 0.902673403 0.862186415 0.954690267 0.153412042 0.399118729 0.30552148 0.632077103 0.718078267 0.498544904 0.028709643 0.319084447 6.631081412 0.13962219 0.147065911 0.140469665 0.155540634 0.024994291 0.065025467 0.049776358 0.102979654 0.116991189 0.081224239 0.00467745 0.051986072
1748 109135 0.376728575 0.846150462 0.968884245 0.811111492 0.090975893 0.478442627 0.244975711 0.432908839 0.233486319 0.081424979 0.894692668 0.496881367 5.956663177 0.061377604 0.137857045 0.157853154 0.132148405 0.01482203 0.077949124 0.039912083 0.07053064 0.038040202 0.01326597 0.145765669 0.080953211
2313 104944 0.810747403 0.488094244 0.296564867 0.169889623 0.246691211 0.35300645 0.985786476 0.450290004 0.955371743 0.169169276 0.820818142 0.975279902 6.721709341 0.132089086 0.07952159 0.048317123 0.027678861 0.040191577 0.057512734 0.16060691 0.073362425 0.155651662 0.027561501 0.133729838 0.158895151
2632 103045 0.499182133 0.305498503 0.964117479 0.243861377 0.916481318 0.667596837 0.717598512 0.481778934 0.792582243 0.226099835 0.434532765 0.351681337 6.601011273 0.081328058 0.049772615 0.15707654 0.039730533 0.149315532 0.108766622 0.116913026 0.078492683 0.129129571 0.036836776 0.070795214 0.057296843
1741 108066 0.629445157 0.309091914 0.516613065 0.621796548 0.894413742 0.882264858 0.94686039 0.09518968 0.354291401 0.713580557 0.017623936 0.83100024 6.812171488 0.102550851 0.050358063 0.084167951 0.101304719 0.145720225 0.143740897 0.15426497 0.015508551 0.057722081 0.11625841 0.002871338 0.135388732
1139 108758 0.69965032 0.543129967 0.743064904 0.393246609 0.352496238 0.676050306 0.53005192 0.780454954 0.965047963 0.78349741 0.789281608 0.135685547 7.391657747 0.113988859 0.088488154 0.121062077 0.064068766 0.057429609 0.110143883 0.086357444 0.127153761 0.157228137 0.127649446 0.128591823 0.022106244
1363 108982 0.946742127 0.28756544 0.592077681 0.89680865 0.551042006 0.532379876 0.970676707 0.406421538 0.763239067 0.823677562 0.815240123 0.0838812 7.669751977 0.154245703 0.046850913 0.096462844 0.14611041 0.089777204 0.086736721 0.158145187 0.066215259 0.124348904 0.134195702 0.132821052 0.013666144
474 109251 0.383001243 0.401165092 0.846605446 0.072942943 0.025477839 0.317582016 0.160379436 0.925812531 0.911392921 0.492197372 0.915665571 0.512139848 5.964362258 0.062399564 0.065358866 0.137931173 0.011884055 0.004150916 0.051741292 0.026129437 0.150835798 0.148486517 0.080190083 0.149182629 0.083439163
1526 107084 0.335934032 0.654491921 0.062179193 0.171984166 0.822031227 0.008938681 0.799612681 0.290015214 0.793773953 0.077854959 0.499055856 0.531162054 5.047033936 0.054731251 0.106631535 0.010130397 0.02802011 0.133927477 0.001456313 0.130274989 0.047250037 0.129323728 0.012684333 0.081307485 0.086538311
1965 111083 0.562238276 0.938631103 0.2977671 0.916440844 0.901580685 0.245378014 0.453181705 0.60294329 0.090402671 0.844295436 0.043452623 0.84120518 6.737516927 0.09160133 0.152924233 0.048512994 0.149308938 0.146887882 0.039977628 0.073833548 0.098233097 0.01472864 0.13755482 0.007079415 0.137051347
1834 110868 0.148306052 0.128299762 0.955058092 0.731253428 0.729742681 0.192553314 0.524452749 0.951159158 0.16933058 0.774111169 0.619300563 0.171456995 6.095024541 0.02416241 0.020902933 0.155600561 0.11913772 0.118891585 0.031371289 0.085445213 0.154965337 0.027587781 0.126120216 0.100898067 0.027934222
1999 107357 0.139577407 0.674447692 0.431253186 0.500290171 0.014568056 0.437891614 0.869606789 0.346882912 0.020634962 0.821455272 0.094560004 0.281212617 4.632380681 0.022740316 0.109882781 0.070260896 0.081508583 0.002373466 0.071342447 0.141678612 0.056515071 0.003361902 0.13383364 0.015405963 0.045815895
2439 109418 0.253609771 0.349990714 0.249433294 0.423007827 0.176407929 0.072602524 0.510178883 0.462208541 0.13798709 0.137441718 0.152398327 0.135079464 3.060346082 0.041318767 0.057021402 0.040638324 0.068917541 0.028740841 0.011828593 0.083119677 0.075304224 0.022481217 0.022392364 0.024829134 0.022007499
516 107400 0.865589282 0.610733707 0.614221097 0.655704677 0.45719822 0.164734263 0.957355128 0.423126652 0.156329149 0.238285132 0.426347635 0.420695386 5.990320328 0.141024069 0.099502332 0.100070507 0.10682912 0.074487929 0.026838937 0.1559748 0.0689369 0.025469554 0.038822037 0.069461671 0.068540792
2202 102865 0.082674051 0.190325229 0.374624515 0.189418686 0.044982219 0.532964892 0.248845226 0.06460373 0.833509928 0.118410323 0.076212832 0.852964785 3.609536415 0.013469473 0.031008284 0.061034805 0.030860588 0.007328621 0.086832034 0.040542515 0.010525409 0.135797617 0.019291719 0.012416794 0.138967253
2313 107042 0.556587677 0.244226661 0.894776371 0.718672774 0.198347273 0.385358038 0.155060001 0.554515018 0.434952283 0.440022982 0.495622836 0.33268812 5.410830033 0.090680719 0.039790046 0.145779306 0.117088047 0.032315256 0.062783539 0.025262781 0.090343036 0.070863563 0.071689695 0.080748168 0.054202418
2951 107359 0.394929472 0.671006967 0.432434142 0.705155978 0.614509085 0.441259527 0.695013116 0.24944222 0.513207697 0.558486032 0.365351365 0.089060563 5.729856162 0.064342942 0.109322209 0.070453301 0.114885855 0.100117427 0.071891156 0.113233354 0.040639779 0.08361314 0.090990004 0.059524 0.01450998
2802 108664 0.872931884 0.350118398 0.977139569 0.461870681 0.612028697 0.643580449 0.509058367 0.9399715 0.210636159 0.676819731 0.350525991 0.970646943 7.575328368 0.142220345 0.057042205 0.159198133 0.075249179 0.099713315 0.104853809 0.08293712 0.153142614 0.034317394 0.11026924 0.057108611 0.158140338
2602 103003 0.374070933 0.810599577 0.855453916 0.775613027 0.743539259 0.432217251 0.585268795 0.084833539 0.68215567 0.055845241 0.366988279 0.77791146 6.544496947 0.060944614 0.132065002 0.139372788 0.126364902 0.12113936 0.070417965 0.095353522 0.013821302 0.111138585 0.009098453 0.05979069 0.126739369
2919 105158 0.472212577 0.696636817 0.695713104 0.754111512 0.089812828 0.451154728 0.368283631 0.075188833 0.178436487 0.530908302 0.166767031 0.621171652 5.1003975 0.076934108 0.113497891 0.113347398 0.122861819 0.014632541 0.073503308 0.060001732 0.012249961 0.029071339 0.086496968 0.027170121 0.101202909
